Date,AAPL,GLD,JPM,MSFT,NVDA,SPY
2018-01-02,40.30417251586914,125.1500015258789,85.90126037597656,78.87033081054688,4.928267002105713,236.56214904785156
2018-01-03,40.29716110229492,124.81999969482422,85.98880004882812,79.2374267578125,5.252615451812744,238.05853271484375
2018-01-04,40.484336853027344,125.45999908447266,87.22064208984375,79.93479919433594,5.280302047729492,239.06182861328125
2018-01-05,40.94525909423828,125.33000183105469,86.66071319580078,80.92586517333984,5.32504940032959,240.65496826171875
2018-01-08,40.793182373046875,125.30999755859375,86.78870391845703,81.00845336914062,5.488214492797852,241.09507751464844
2018-01-09,40.78850555419922,124.7300033569336,87.2286605834961,80.95336151123047,5.486729145050049,241.64073181152344
2018-01-10,40.77913284301758,125.02999877929688,88.18852996826172,80.58635711669922,5.529744625091553,241.2710723876953
2018-01-11,41.010772705078125,125.44000244140625,88.66043853759766,80.8249282836914,5.53963565826416,243.03143310546875
2018-01-12,41.434268951416016,126.95999908447266,90.12425994873047,82.2197036743164,5.512439250946045,244.61569213867188
2018-01-16,41.223697662353516,127.16999816894531,89.8042984008789,81.07267761230469,5.441488742828369,243.7796173095703
2018-01-17,41.9045524597168,126.13999938964844,90.38024139404297,82.71521759033203,5.555456161499023,246.10317993164062
2018-01-18,41.941986083984375,125.86000061035156,90.59620666503906,82.67853546142578,5.5485334396362305,245.68954467773438
2018-01-19,41.75481414794922,126.41999816894531,90.39622497558594,82.5867691040039,5.688706398010254,246.80734252929688
2018-01-22,41.4132080078125,126.6500015258789,91.45207977294922,84.06414794921875,5.777209281921387,248.81402587890625
2018-01-23,41.42254638671875,127.27999877929688,91.35609436035156,84.33026885986328,5.906256198883057,249.34226989746094
2018-01-24,40.762760162353516,128.8300018310547,92.52395629882812,84.2568359375,5.829371929168701,249.2454071044922
2018-01-25,40.03511047363281,127.97000122070312,92.54794311523438,84.72484588623047,5.842968940734863,249.35092163085938
2018-01-26,40.128700256347656,128.07000732421875,93.04387664794922,86.31233215332031,6.015525817871094,252.238037109375
