Date,AAPL,GLD,JPM,MSFT,NVDA,SPY
2018-05-10,111957200,5218400,9159700,22388100,994080000,72063900
2018-05-11,104848800,4299200,10253000,16778300,1214456000,59871500
2018-05-14,83115200,3753200,8710700,19454100,523140000,54790600
2018-05-15,94780800,10911900,11536200,24594000,963528000,87036100
2018-05-16,76732400,4943300,7571100,17384700,553828000,53942600
2018-05-17,69176000,7781300,8617200,17246700,519784000,56536400
2018-05-18,73190800,6837100,11806300,17865800,483716000,64368000
2018-05-21,73603200,4126700,9441900,19422500,640624000,58025900
2018-05-22,60962800,4579600,11507600,15441200,518264000,52966400
2018-05-23,80233600,7007300,11453900,21251200,442956000,64694200
2018-05-24,92936000,8850100,14084800,26649300,437372000,76043800
2018-05-25,69844000,7920700,8283500,18363900,292112000,56374800
2018-05-29,90056400,9013200,30643800,28671000,352684000,115908600
2018-05-30,74762000,4573700,17490800,22158500,390996000,69678400
2018-05-31,109931200,7862500,19808200,34140900,493868000,93519900
2018-06-01,93770000,8059100,13594200,28655600,421968000,71258400
2018-06-04,105064800,4345400,9415400,27281600,642024000,45385200
2018-06-05,86264000,6864200,10415200,23514400,391712000,51135000
2018-06-06,83734400,4083700,15453600,21122900,371356000,62732200
2018-06-07,85388800,3700700,13444400,28232200,369448000,72969400
2018-06-08,106627200,3865700,10383200,22165100,360456000,72139700
2018-06-11,73234000,3201200,12642900,23490900,265372000,58892500
2018-06-12,67644400,7279600,15294100,18325200,319160000,72329000
2018-06-13,86553600,5867700,14979700,29492900,338208000,79070600
2018-06-14,86440400,8015400,20487300,25691800,430016000,77097600
2018-06-15,246876800,14537000,26028600,65738600,432260000,120041600
2018-06-18,73939600,3846000,9786800,23586000,356268000,52917600
2018-06-19,134314000,4925800,12707200,28653100,594932000,97531500
2018-06-20,82514800,4548500,8876900,26180800,369780000,53785500
2018-06-21,102847600,5681900,11048700,23198200,359516000,71061400
2018-06-22,108801600,4489400,19478900,38923100,434160000,54898500
2018-06-25,126652400,9300200,16907600,35433300,665816000,137854200
2018-06-26,98276800,8674500,17086800,26897200,478884000,68547400
2018-06-27,101141200,6480100,16276800,31298400,453892000,105110700
2018-06-28,69460800,7760500,14491300,26650700,338012000,76650500
2018-06-29,90950800,8002800,18972400,28053200,392300000,97592500
2018-07-02,70925200,12021900,11130000,19564500,357572000,63554800
2018-07-03,55819200,8901000,8311700,14670300,222732000,42187100
2018-07-05,66416800,4951900,10723400,18977400,306216000,56925900
2018-07-06,69940800,2946900,12173700,19234600,296352000,66493700
2018-07-09,79026400,4074900,13900800,18212000,303880000,50550400
2018-07-10,63756400,3754800,14575900,19293100,360016000,51966800
2018-07-11,75326000,6974500,10186500,19644600,367508000,77054700
2018-07-12,72164400,4585300,12456800,24335900,345508000,60124700
2018-07-13,50055600,5444300,21289100,24635200,246988000,48216000
2018-07-16,60172400,3670700,24662600,21786900,197036000,48201000
2018-07-17,62138000,7939600,14821900,25901700,362136000,52315500
2018-07-18,65573600,5391800,14244900,29493900,277640000,44593500
2018-07-19,81147200,14227600,16775300,40171600,235752000,61412100
2018-07-20,82704800,7892000,13578100,56004000,222352000,82337700
2018-07-23,63957600,6247100,18140000,29707000,301584000,47047600
2018-07-24,74791600,4801000,14000400,26316600,354620000,68026900
2018-07-25,66839600,5479600,13329100,30702100,319112000,78882900
2018-07-26,76304000,6382700,11897800,31372100,325124000,57919500
2018-07-27,96096000,5242000,12802700,37005300,295420000,76768700
2018-07-30,84118000,4157400,13411600,34668300,340340000,63742500
2018-07-31,157492000,5508500,15843800,27655200,283988000,68570500
2018-08-01,271742800,7941700,13531600,23628700,283556000,53853300
2018-08-02,249616000,6204200,11058100,26104300,269668000,63426400
2018-08-03,133789600,5953200,11016100,18659600,214288000,53935400
2018-08-06,101701600,5811600,9857400,20265900,207508000,39400900
2018-08-07,102349600,5188000,10562100,16080200,258132000,43196600
2018-08-08,90102000,3808000,8997100,15487500,262100000,42114600
2018-08-09,93970400,4253000,9694200,13677200,204280000,35717000
2018-08-10,98444800,6757900,12630600,18183700,256396000,77076000
2018-08-13,103563600,9150900,10336300,18472500,375208000,65732900
2018-08-14,82992000,7085900,10597600,16788300,466220000,43842000
2018-08-15,115230400,12398400,10152100,29982800,591136000,102925400
2018-08-16,114001600,7484600,10118600,21384300,801260000,69967900
2018-08-17,141708000,8471000,8505100,18061500,1143188000,65618500
2018-08-20,121150800,5313400,8618700,17914200,854388000,39807500
2018-08-21,104639200,5042400,10976700,22881900,673988000,67272000
2018-08-22,76072400,6215600,8314700,18000600,749856000,44993300
2018-08-23,75532800,5500100,9265400,18167700,720684000,49204900
2018-08-24,73905600,9214700,8845700,17234000,531512000,57487400
2018-08-27,82100400,4364000,13768000,19662300,505776000,57072400
2018-08-28,91107200,6101400,8302600,19151500,475384000,46943500
2018-08-29,109019200,5616300,7221700,20818000,420108000,61485500
2018-08-30,195175200,5431600,8991800,22798700,346608000,61229500
2018-08-31,173360400,5048700,13065700,23222700,306592000,66140800
2018-09-04,109560400,6617500,10174200,22634600,391720000,57594400
2018-09-05,133332000,4459200,11462400,32872400,393156000,72452400
2018-09-06,137160000,4784700,9877600,23477600,322796000,65909900
2018-09-07,150479200,3714000,10955600,22498600,295420000,73524800
2018-09-10,158066000,2316500,8276900,20727900,220140000,50210900
2018-09-11,142996000,3791300,9333800,24301800,243112000,50530500
2018-09-12,197114800,6315900,10800800,18891100,419092000,59810800
2018-09-13,166825600,5635900,12470800,26055600,305536000,51034200
2018-09-14,127997200,5375600,10337900,19122300,386936000,55079900
2018-09-17,148780400,4727300,9561300,20736500,205528000,68244000
2018-09-18,126286800,4737800,7944200,22170900,299520000,61930400
2018-09-19,108495200,4223200,16052800,21728400,224860000,49080600
2018-09-20,106435200,4384200,15590000,23714500,430584000,100360600
2018-09-21,384986800,6831400,24788200,71229700,435128000,105479700
2018-09-24,110773600,4435300,12492500,27334500,293912000,53409600
2018-09-25,98217600,3004800,9308300,22668000,280388000,44370000
2018-09-26,95938800,8297300,14023600,19352000,268548000,79739700
2018-09-27,120724800,7683400,13283000,19091300,214428000,59249500
2018-09-28,91717600,6020600,15815100,21647800,709396000,70091400
2018-10-01,94403200,3892600,10146300,18883100,622060000,62078900
2018-10-02,99152800,10776700,13753100,20787200,383964000,47258200
2018-10-03,114619200,6674500,17142000,16648000,320552000,64694600
2018-10-04,128168000,6616200,16357400,34821700,391220000,111545900
2018-10-05,134322000,7994400,13777600,29068900,426636000,105951700
2018-10-08,118655600,12111600,14370900,29640600,408612000,87742200
2018-10-09,107564000,8352300,14069500,26198600,273500000,74339000
2018-10-10,167962400,10571300,23086400,61376300,684940000,214731000
2018-10-11,212497600,26810900,33705600,63904300,725436000,274840500
2018-10-12,161351600,12939300,32075700,47742100,608236000,183186500
2018-10-15,123164000,11828400,18903200,32068100,449760000,102263700
2018-10-16,116736000,9531800,19302800,31610200,408712000,118255800
2018-10-17,91541600,7078600,18794500,26548200,329668000,110626000
2018-10-18,130325200,7964100,17582500,32506200,524020000,134557500
2018-10-19,132314800,7453900,15234500,32785500,613608000,139901600
2018-10-22,115168400,5200500,16199100,26545600,368844000,82415800
2018-10-23,155071200,12704200,21407500,43770400,626436000,146352700
2018-10-24,163702000,8563300,23168900,63897800,884288000,177806700
2018-10-25,119423200,8303500,17464700,61646800,951720000,138061500
2018-10-26,189033600,15733100,19174900,55523100,664784000,201574600
2018-10-29,183742000,8732500,18445200,55162000,758016000,160749100
2018-10-30,146640000,7233300,18019700,65350900,807192000,157116000
2018-10-31,153435600,11409300,20860000,51062400,745772000,128296300
